المرحلة,المهمة,تاريخ البدء,تاريخ الانتهاء,المدة (أيام),الحالة,الأولوية,المسؤول,الملاحظات
"المرحلة 1: التخطيط والإعداد","1.1 تحليل المتطلبات",2024-01-01,2024-01-07,7,مكتمل,عالية,فريق التحليل,تحديد الميزات الأساسية
"المرحلة 1: التخطيط والإعداد","1.2 تصميم قاعدة البيانات",2024-01-08,2024-01-12,5,مكتمل,عالية,مهندس البيانات,تصميم Firestore Collections
"المرحلة 1: التخطيط والإعداد","1.3 تصميم واجهات المستخدم (UI/UX)",2024-01-13,2024-01-20,8,مكتمل,عالية,مصمم UI/UX,تصميم جميع الشاشات
"المرحلة 1: التخطيط والإعداد","1.4 إعداد بيئة التطوير",2024-01-21,2024-01-23,3,مكتمل,متوسطة,فريق التطوير,Flutter SDK + Dependencies

"المرحلة 2: إعداد Firebase","2.1 إنشاء مشروع Firebase",2024-01-24,2024-01-25,2,مكتمل,عالية,مطور Backend,تكوين المشروع
"المرحلة 2: إعداد Firebase","2.2 إعداد Firebase Authentication",2024-01-26,2024-01-28,3,مكتمل,عالية,مطور Backend,Email/Password Auth
"المرحلة 2: إعداد Firebase","2.3 إعداد Cloud Firestore",2024-01-29,2024-01-31,3,مكتمل,عالية,مطور Backend,Collections + Security Rules
"المرحلة 2: إعداد Firebase","2.4 إعداد Firebase Storage",2024-02-01,2024-02-02,2,مكتمل,متوسطة,مطور Backend,تخزين الصور
"المرحلة 2: إعداد Firebase","2.5 إعداد Firebase Analytics",2024-02-03,2024-02-04,2,مكتمل,منخفضة,مطور Backend,تتبع الأحداث
"المرحلة 2: إعداد Firebase","2.6 إعداد Firebase Crashlytics",2024-02-05,2024-02-06,2,مكتمل,متوسطة,مطور Backend,تتبع الأخطاء
"المرحلة 2: إعداد Firebase","2.7 إعداد Firebase Messaging",2024-02-07,2024-02-08,2,مكتمل,متوسطة,مطور Backend,Push Notifications

"المرحلة 3: البنية التحتية (Core)","3.1 إعداد MVVM Architecture",2024-02-09,2024-02-12,4,مكتمل,عالية,مطور رئيسي,تنظيم الملفات
"المرحلة 3: البنية التحتية (Core)","3.2 إنشاء Models الأساسية",2024-02-13,2024-02-16,4,مكتمل,عالية,فريق التطوير,"User, Car, Booking, Invoice"
"المرحلة 3: البنية التحتية (Core)","3.3 إنشاء Firebase Service",2024-02-17,2024-02-20,4,مكتمل,عالية,مطور Backend,خدمات Firestore
"المرحلة 3: البنية التحتية (Core)","3.4 إعداد Providers",2024-02-21,2024-02-24,4,مكتمل,عالية,فريق التطوير,State Management
"المرحلة 3: البنية التحتية (Core)","3.5 إنشاء Theme System",2024-02-25,2024-02-27,3,مكتمل,متوسطة,مطور Frontend,Dark/Light Mode
"المرحلة 3: البنية التحتية (Core)","3.6 إعداد Routing (Go Router)",2024-02-28,2024-03-02,4,مكتمل,عالية,مطور Frontend,التنقل بين الصفحات
"المرحلة 3: البنية التحتية (Core)","3.7 إنشاء Widgets مشتركة",2024-03-03,2024-03-06,4,مكتمل,متوسطة,مطور Frontend,Reusable Components

"المرحلة 4: نظام المصادقة (Auth)","4.1 تصميم صفحات التسجيل والدخول",2024-03-07,2024-03-10,4,مكتمل,عالية,مطور Frontend,UI Design
"المرحلة 4: نظام المصادقة (Auth)","4.2 Auth Repository",2024-03-11,2024-03-13,3,مكتمل,عالية,مطور Backend,Data Layer
"المرحلة 4: نظام المصادقة (Auth)","4.3 Auth Use Cases",2024-03-14,2024-03-16,3,مكتمل,عالية,مطور Backend,Business Logic
"المرحلة 4: نظام المصادقة (Auth)","4.4 Auth ViewModel",2024-03-17,2024-03-19,3,مكتمل,عالية,فريق التطوير,State Management
"المرحلة 4: نظام المصادقة (Auth)","4.5 نظام الأدوار (Roles)",2024-03-20,2024-03-23,4,مكتمل,عالية,مطور Backend,"Admin, Customer, Technician, Cashier"
"المرحلة 4: نظام المصادقة (Auth)","4.6 نظام Invite Codes",2024-03-24,2024-03-26,3,مكتمل,متوسطة,مطور Backend,للموظفين
"المرحلة 4: نظام المصادقة (Auth)","4.7 التحقق من حالة المستخدم",2024-03-27,2024-03-28,2,مكتمل,عالية,فريق التطوير,Session Management
"المرحلة 4: نظام المصادقة (Auth)","4.8 تسجيل الخروج",2024-03-29,2024-03-30,2,مكتمل,متوسطة,فريق التطوير,Logout Functionality

"المرحلة 5: ميزات العملاء (Customer)","5.1 لوحة تحكم العميل",2024-03-31,2024-04-04,5,مكتمل,عالية,مطور Frontend,Dashboard UI
"المرحلة 5: ميزات العملاء (Customer)","5.2 إدارة السيارات - Repository",2024-04-05,2024-04-07,3,مكتمل,عالية,مطور Backend,Car CRUD Operations
"المرحلة 5: ميزات العملاء (Customer)","5.3 إدارة السيارات - Use Cases",2024-04-08,2024-04-10,3,مكتمل,عالية,مطور Backend,Business Logic
"المرحلة 5: ميزات العملاء (Customer)","5.4 إدارة السيارات - UI",2024-04-11,2024-04-15,5,مكتمل,عالية,مطور Frontend,"Add, Edit, Delete Cars"
"المرحلة 5: ميزات العملاء (Customer)","5.5 نظام الحجوزات - Repository",2024-04-16,2024-04-19,4,مكتمل,عالية,مطور Backend,Booking CRUD
"المرحلة 5: ميزات العملاء (Customer)","5.6 نظام الحجوزات - Use Cases",2024-04-20,2024-04-23,4,مكتمل,عالية,مطور Backend,"Create, Cancel, Update"
"المرحلة 5: ميزات العملاء (Customer)","5.7 صفحة إنشاء الحجز",2024-04-24,2024-04-29,6,مكتمل,عالية,مطور Frontend,Booking Form
"المرحلة 5: ميزات العملاء (Customer)","5.8 صفحة الحجوزات النشطة",2024-04-30,2024-05-03,4,مكتمل,عالية,مطور Frontend,Active Bookings List
"المرحلة 5: ميزات العملاء (Customer)","5.9 صفحة السجل التاريخي",2024-05-04,2024-05-07,4,مكتمل,متوسطة,مطور Frontend,Booking History
"المرحلة 5: ميزات العملاء (Customer)","5.10 صفحة الملف الشخصي",2024-05-08,2024-05-11,4,مكتمل,متوسطة,مطور Frontend,Profile Management
"المرحلة 5: ميزات العملاء (Customer)","5.11 تعديل الملف الشخصي",2024-05-12,2024-05-14,3,مكتمل,متوسطة,مطور Frontend,Edit Profile

"المرحلة 6: ميزات الفنيين (Technician)","6.1 لوحة تحكم الفني",2024-05-15,2024-05-19,5,مكتمل,عالية,مطور Frontend,Dashboard UI
"المرحلة 6: ميزات الفنيين (Technician)","6.2 صفحة الوظائف المعينة",2024-05-20,2024-05-24,5,مكتمل,عالية,مطور Frontend,Assigned Jobs List
"المرحلة 6: ميزات الفنيين (Technician)","6.3 صفحة تفاصيل الوظيفة",2024-05-25,2024-05-30,6,مكتمل,عالية,مطور Frontend,Job Details + Updates
"المرحلة 6: ميزات الفنيين (Technician)","6.4 إضافة خدمات وقطع الغيار",2024-05-31,2024-06-04,5,مكتمل,عالية,فريق التطوير,Service Items Dialog
"المرحلة 6: ميزات الفنيين (Technician)","6.5 إصلاح Overflow في Dialogs",2024-06-05,2024-06-06,2,مكتمل,متوسطة,مطور Frontend,ScreenUtil Integration
"المرحلة 6: ميزات الفنيين (Technician)","6.6 تحديث حالة الوظيفة",2024-06-07,2024-06-09,3,مكتمل,عالية,فريق التطوير,Status Updates
"المرحلة 6: ميزات الفنيين (Technician)","6.7 صفحة الملف الشخصي للفني",2024-06-10,2024-06-13,4,مكتمل,متوسطة,مطور Frontend,Profile + Stats
"المرحلة 6: ميزات الفنيين (Technician)","6.8 إحصائيات الفني",2024-06-14,2024-06-17,4,مكتمل,متوسطة,فريق التطوير,Real-time Stats

"المرحلة 7: ميزات الكاشير (Cashier)","7.1 لوحة تحكم الكاشير",2024-06-18,2024-06-21,4,مكتمل,عالية,مطور Frontend,Dashboard UI
"المرحلة 7: ميزات الكاشير (Cashier)","7.2 صفحة الحجوزات المعلقة",2024-06-22,2024-06-25,4,مكتمل,عالية,مطور Frontend,Pending Payments
"المرحلة 7: ميزات الكاشير (Cashier)","7.3 نظام معالجة الدفع",2024-06-26,2024-06-30,5,مكتمل,عالية,فريق التطوير,Payment Processing
"المرحلة 7: ميزات الكاشير (Cashier)","7.4 نظام الخصومات",2024-07-01,2024-07-05,5,مكتمل,متوسطة,فريق التطوير,Discount System
"المرحلة 7: ميزات الكاشير (Cashier)","7.5 عرض تفاصيل السيارة",2024-07-06,2024-07-08,3,مكتمل,منخفضة,مطور Frontend,Car Details Display
"المرحلة 7: ميزات الكاشير (Cashier)","7.6 عرض اسم العميل",2024-07-09,2024-07-10,2,مكتمل,منخفضة,مطور Frontend,Customer Name Display

"المرحلة 8: ميزات المدير (Admin)","8.1 لوحة تحكم المدير",2024-07-11,2024-07-15,5,مكتمل,عالية,مطور Frontend,Admin Dashboard
"المرحلة 8: ميزات المدير (Admin)","8.2 إدارة المستخدمين",2024-07-16,2024-07-20,5,مكتمل,عالية,فريق التطوير,User Management
"المرحلة 8: ميزات المدير (Admin)","8.3 إدارة الفنيين",2024-07-21,2024-07-24,4,مكتمل,عالية,فريق التطوير,Technician Management
"المرحلة 8: ميزات المدير (Admin)","8.4 إدارة الحجوزات",2024-07-25,2024-07-28,4,مكتمل,عالية,فريق التطوير,Booking Management
"المرحلة 8: ميزات المدير (Admin)","8.5 إدارة رموز الدعوة",2024-07-29,2024-08-01,4,مكتمل,متوسطة,فريق التطوير,Invite Codes Management
"المرحلة 8: ميزات المدير (Admin)","8.6 إدارة العروض",2024-08-02,2024-08-05,4,مكتمل,متوسطة,فريق التطوير,Offers Management
"المرحلة 8: ميزات المدير (Admin)","8.7 صفحة التحليلات",2024-08-06,2024-08-12,7,مكتمل,عالية,فريق التطوير,Analytics Dashboard
"المرحلة 8: ميزات المدير (Admin)","8.8 الرسوم البيانية (Charts)",2024-08-13,2024-08-16,4,مكتمل,متوسطة,مطور Frontend,FL Charts Integration
"المرحلة 8: ميزات المدير (Admin)","8.9 تقارير الإيرادات",2024-08-17,2024-08-20,4,مكتمل,عالية,فريق التطوير,Revenue Reports

"المرحلة 9: نظام الفواتير (Invoices)","9.1 Invoice Model",2024-08-21,2024-08-23,3,مكتمل,عالية,مطور Backend,Data Model
"المرحلة 9: نظام الفواتير (Invoices)","9.2 توليد الفواتير",2024-08-24,2024-08-27,4,مكتمل,عالية,مطور Backend,Auto Invoice Generation
"المرحلة 9: نظام الفواتير (Invoices)","9.3 عرض الفاتورة - Widget",2024-08-28,2024-08-31,4,مكتمل,عالية,مطور Frontend,Invoice Display
"المرحلة 9: نظام الفواتير (Invoices)","9.4 نظام تصدير PDF",2024-09-01,2024-09-05,5,مكتمل,عالية,فريق التطوير,PDF Generation
"المرحلة 9: نظام الفواتير (Invoices)","9.5 إصلاح Overflow في الفاتورة",2024-09-06,2024-09-07,2,مكتمل,متوسطة,مطور Frontend,Layout Fixes
"المرحلة 9: نظام الفواتير (Invoices)","9.6 مشاركة الفاتورة",2024-09-08,2024-09-10,3,مكتمل,متوسطة,مطور Frontend,Share Functionality

"المرحلة 10: نظام التقييمات (Ratings)","10.1 إضافة Rating إلى Booking Model",2024-09-11,2024-09-12,2,مكتمل,عالية,مطور Backend,Model Update
"المرحلة 10: نظام التقييمات (Ratings)","10.2 Rating Dialog Widget",2024-09-13,2024-09-15,3,مكتمل,عالية,مطور Frontend,Rating UI
"المرحلة 10: نظام التقييمات (Ratings)","10.3 تكامل Rating مع Backend",2024-09-16,2024-09-18,3,مكتمل,عالية,فريق التطوير,Rating Submission
"المرحلة 10: نظام التقييمات (Ratings)","10.4 عرض التقييمات",2024-09-19,2024-09-21,3,مكتمل,متوسطة,مطور Frontend,Rating Display
"المرحلة 10: نظام التقييمات (Ratings)","10.5 متوسط التقييمات للفنيين",2024-09-22,2024-09-24,3,مكتمل,متوسطة,فريق التطوير,Technician Ratings

"المرحلة 11: نظام الإشعارات","11.1 إعداد Local Notifications",2024-09-25,2024-09-27,3,مكتمل,متوسطة,مطور Backend,Local Notifications
"المرحلة 11: نظام الإشعارات","11.2 إعداد FCM",2024-09-28,2024-10-01,4,مكتمل,متوسطة,مطور Backend,Firebase Cloud Messaging
"المرحلة 11: نظام الإشعارات","11.3 إشعارات الحجوزات",2024-10-02,2024-10-05,4,مكتمل,عالية,فريق التطوير,Booking Notifications
"المرحلة 11: نظام الإشعارات","11.4 إشعارات تحديث الحالة",2024-10-06,2024-10-08,3,مكتمل,متوسطة,فريق التطوير,Status Update Notifications

"المرحلة 12: الشات بوت بالذكاء الاصطناعي","12.1 إعداد Gemini API",2024-10-09,2024-10-11,3,مكتمل,متوسطة,مطور Backend,API Setup
"المرحلة 12: الشات بوت بالذكاء الاصطناعي","12.2 Chatbot Repository",2024-10-12,2024-10-15,4,مكتمل,متوسطة,مطور Backend,Data Layer
"المرحلة 12: الشات بوت بالذكاء الاصطناعي","12.3 Chatbot Use Cases",2024-10-16,2024-10-18,3,مكتمل,متوسطة,مطور Backend,Business Logic
"المرحلة 12: الشات بوت بالذكاء الاصطناعي","12.4 Chatbot UI",2024-10-19,2024-10-23,5,مكتمل,متوسطة,مطور Frontend,Chat Interface
"المرحلة 12: الشات بوت بالذكاء الاصطناعي","12.5 تكامل مع المساعد الذكي",2024-10-24,2024-10-27,4,مكتمل,متوسطة,فريق التطوير,AI Integration

"المرحلة 13: ميزات إضافية","13.1 نظام السوق (Marketplace)",2024-10-28,2024-11-02,6,مكتمل,منخفضة,فريق التطوير,Marketplace Feature
"المرحلة 13: ميزات إضافية","13.2 أرقام هاتف قابلة للنقر",2024-11-03,2024-11-04,2,مكتمل,منخفضة,مطور Frontend,URL Launcher
"المرحلة 13: ميزات إضافية","13.3 أسعار قابلة للنقر",2024-11-05,2024-11-06,2,مكتمل,منخفضة,مطور Frontend,Clickable Prices
"المرحلة 13: ميزات إضافية","13.4 معلومات التواصل للمدير",2024-11-07,2024-11-08,2,مكتمل,منخفضة,مطور Frontend,Contact Info Display
"المرحلة 13: ميزات إضافية","13.5 ميزة تعطيل الحساب",2024-11-09,2024-11-11,3,مكتمل,متوسطة,فريق التطوير,Account Deactivation
"المرحلة 13: ميزات إضافية","13.6 ميزة إعادة تفعيل الحساب",2024-11-12,2024-11-14,3,مكتمل,متوسطة,فريق التطوير,Account Reactivation

"المرحلة 14: الأمان والتحسينات","14.1 Firestore Security Rules",2024-11-15,2024-11-18,4,مكتمل,عالية,مطور Backend,Security Implementation
"المرحلة 14: الأمان والتحسينات","14.2 التحقق من الصلاحيات",2024-11-19,2024-11-22,4,مكتمل,عالية,فريق التطوير,Authorization Checks
"المرحلة 14: الأمان والتحسينات","14.3 معالجة الأخطاء",2024-11-23,2024-11-26,4,مكتمل,عالية,فريق التطوير,Error Handling
"المرحلة 14: الأمان والتحسينات","14.4 تحسين الأداء",2024-11-27,2024-11-30,4,مكتمل,متوسطة,فريق التطوير,Performance Optimization
"المرحلة 14: الأمان والتحسينات","14.5 Responsive Design",2024-12-01,2024-12-04,4,مكتمل,متوسطة,مطور Frontend,ScreenUtil Implementation

"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.1 إصلاح أخطاء التسجيل",2024-12-05,2024-12-07,3,مكتمل,عالية,فريق التطوير,Registration Fixes
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.2 إصلاح أخطاء تسجيل الدخول",2024-12-08,2024-12-09,2,مكتمل,عالية,فريق التطوير,Login Fixes
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.3 إصلاح تعارض Firebase",2024-12-10,2024-12-11,2,مكتمل,عالية,مطور Backend,Firebase Conflicts
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.4 إصلاح Logout Crash",2024-12-12,2024-12-13,2,مكتمل,عالية,فريق التطوير,Crash Fixes
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.5 إصلاح Overflow في UI",2024-12-14,2024-12-16,3,مكتمل,متوسطة,مطور Frontend,UI Overflow Fixes
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.6 إصلاح Dropdown Buttons",2024-12-17,2024-12-18,2,مكتمل,متوسطة,مطور Frontend,Dropdown Fixes
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.7 إصلاح الحجوزات المكررة",2024-12-19,2024-12-20,2,مكتمل,عالية,فريق التطوير,Duplicate Booking Fix
"المرحلة 15: إصلاح الأخطاء (Bug Fixes)","15.8 إصلاح نظام الخصومات",2024-12-21,2024-12-22,2,مكتمل,متوسطة,فريق التطوير,Discount System Fix

"المرحلة 16: الاختبار (Testing)","16.1 اختبار وحدة (Unit Tests)",2024-12-23,2024-12-27,5,قيد التنفيذ,عالية,فريق QA,Unit Testing
"المرحلة 16: الاختبار (Testing)","16.2 اختبار التكامل",2024-12-28,2025-01-02,6,معلق,عالية,فريق QA,Integration Testing
"المرحلة 16: الاختبار (Testing)","16.3 اختبار واجهة المستخدم",2025-01-03,2025-01-07,5,معلق,عالية,فريق QA,UI Testing
"المرحلة 16: الاختبار (Testing)","16.4 اختبار المصادقة",2025-01-08,2025-01-09,2,معلق,عالية,فريق QA,Auth Testing
"المرحلة 16: الاختبار (Testing)","16.5 اختبار نظام الحجوزات",2025-01-10,2025-01-12,3,معلق,عالية,فريق QA,Booking Testing
"المرحلة 16: الاختبار (Testing)","16.6 اختبار نظام الدفع",2025-01-13,2025-01-14,2,معلق,عالية,فريق QA,Payment Testing
"المرحلة 16: الاختبار (Testing)","16.7 اختبار الأدوار والصلاحيات",2025-01-15,2025-01-16,2,معلق,عالية,فريق QA,Role Testing
"المرحلة 16: الاختبار (Testing)","16.8 اختبار الأداء",2025-01-17,2025-01-19,3,معلق,متوسطة,فريق QA,Performance Testing

"المرحلة 17: التوثيق (Documentation)","17.1 توثيق الكود",2025-01-20,2025-01-24,5,معلق,متوسطة,فريق التطوير,Code Documentation
"المرحلة 17: التوثيق (Documentation)","17.2 دليل المستخدم - عميل",2025-01-25,2025-01-27,3,معلق,متوسطة,فريق التوثيق,Customer User Guide
"المرحلة 17: التوثيق (Documentation)","17.3 دليل المستخدم - فني",2025-01-28,2025-01-29,2,معلق,متوسطة,فريق التوثيق,Technician User Guide
"المرحلة 17: التوثيق (Documentation)","17.4 دليل المستخدم - كاشير",2025-01-30,2025-01-31,2,معلق,متوسطة,فريق التوثيق,Cashier User Guide
"المرحلة 17: التوثيق (Documentation)","17.5 دليل المستخدم - مدير",2025-02-01,2025-02-02,2,معلق,متوسطة,فريق التوثيق,Admin User Guide
"المرحلة 17: التوثيق (Documentation)","17.6 دليل الإعداد",2025-02-03,2025-02-04,2,معلق,متوسطة,فريق التوثيق,Setup Guide
"المرحلة 17: التوثيق (Documentation)","17.7 API Documentation",2025-02-05,2025-02-07,3,معلق,منخفضة,فريق التطوير,API Docs

"المرحلة 18: النشر (Deployment)","18.1 إعداد Google Play Store",2025-02-08,2025-02-10,3,معلق,عالية,مطور DevOps,Android Store Setup
"المرحلة 18: النشر (Deployment)","18.2 إعداد Apple App Store",2025-02-11,2025-02-13,3,معلق,عالية,مطور DevOps,iOS Store Setup
"المرحلة 18: النشر (Deployment)","18.3 بناء نسخة Android",2025-02-14,2025-02-15,2,معلق,عالية,مطور DevOps,Android Build
"المرحلة 18: النشر (Deployment)","18.4 بناء نسخة iOS",2025-02-16,2025-02-17,2,معلق,عالية,مطور DevOps,iOS Build
"المرحلة 18: النشر (Deployment)","18.5 اختبار Beta",2025-02-18,2025-02-24,7,معلق,عالية,فريق QA,Beta Testing
"المرحلة 18: النشر (Deployment)","18.6 إصلاح مشاكل Beta",2025-02-25,2025-02-28,4,معلق,عالية,فريق التطوير,Beta Bug Fixes
"المرحلة 18: النشر (Deployment)","18.7 النشر على Play Store",2025-03-01,2025-03-02,2,معلق,عالية,مطور DevOps,Android Release
"المرحلة 18: النشر (Deployment)","18.8 النشر على App Store",2025-03-03,2025-03-04,2,معلق,عالية,مطور DevOps,iOS Release

"المرحلة 19: الصيانة والتحديثات","19.1 مراقبة الأداء",2025-03-05,2025-03-11,7,معلق,متوسطة,فريق DevOps,Performance Monitoring
"المرحلة 19: الصيانة والتحديثات","19.2 جمع تعليقات المستخدمين",2025-03-12,2025-03-18,7,معلق,متوسطة,فريق الدعم,User Feedback
"المرحلة 19: الصيانة والتحديثات","19.3 إصلاح أخطاء ما بعد الإطلاق",2025-03-19,2025-03-25,7,معلق,عالية,فريق التطوير,Post-Launch Fixes
"المرحلة 19: الصيانة والتحديثات","19.4 تحديثات الأمان",2025-03-26,2025-03-31,6,معلق,عالية,مطور Backend,Security Updates

"المرحلة 20: ميزات مستقبلية","20.1 دعم اللغات المتعددة",2025-04-01,2025-04-10,10,معلق,متوسطة,فريق التطوير,Localization
"المرحلة 20: ميزات مستقبلية","20.2 تكامل مع أنظمة الدفع",2025-04-11,2025-04-20,10,معلق,عالية,فريق التطوير,Payment Gateway Integration
"المرحلة 20: ميزات مستقبلية","20.3 نظام الولاء والمكافآت",2025-04-21,2025-04-30,10,معلق,منخفضة,فريق التطوير,Loyalty System
"المرحلة 20: ميزات مستقبلية","20.4 تتبع موقع الفني",2025-05-01,2025-05-10,10,معلق,متوسطة,فريق التطوير,GPS Tracking
"المرحلة 20: ميزات مستقبلية","20.5 نظام الرسائل المباشرة",2025-05-11,2025-05-20,10,معلق,منخفضة,فريق التطوير,In-App Messaging
